epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,28087,0.58029,0.36698,1.04348,0.95741,0.95292,0.97122,0.64988,1.12209,0.48224,1.47246,0.000693305,0.000693305,0.000693305
120,28335,0.59654,0.37761,1.03836,0.95797,0.95292,0.95335,0.63665,1.13394,0.48599,1.5043,0.000685054,0.000685054,0.000685054
121,28565.3,0.60186,0.38219,1.06582,0.95055,0.96574,0.9583,0.64032,1.12206,0.48988,1.5028,0.000676802,0.000676802,0.000676802
122,28802.6,0.60629,0.38394,1.06246,0.95374,0.96329,0.96499,0.65161,1.09831,0.45837,1.45998,0.00066855,0.00066855,0.00066855
123,29030.9,0.60903,0.37949,1.059,0.94448,0.95292,0.94583,0.62502,1.15365,0.49085,1.51188,0.000660299,0.000660299,0.000660299
124,29258.2,0.58735,0.38055,1.0517,0.96048,0.96326,0.95757,0.6323,1.13775,0.47647,1.49135,0.000652047,0.000652047,0.000652047
125,29486.6,0.5823,0.37034,1.03839,0.94437,0.95292,0.94647,0.62533,1.17878,0.49226,1.52303,0.000643795,0.000643795,0.000643795
126,29717.8,0.579,0.36298,1.0412,0.95956,0.96574,0.96369,0.64015,1.13583,0.47564,1.48115,0.000635544,0.000635544,0.000635544
127,29946.1,0.6024,0.39535,1.07171,0.94795,0.9401,0.94281,0.62966,1.11874,0.49584,1.46676,0.000627292,0.000627292,0.000627292
128,30173.6,0.58331,0.37412,1.04868,0.95769,0.9646,0.95539,0.6544,1.09136,0.47949,1.48319,0.00061904,0.00061904,0.00061904
129,30401.9,0.5573,0.36285,1.03486,0.94376,0.95203,0.94412,0.65416,1.09319,0.47464,1.4742,0.000610789,0.000610789,0.000610789
130,30632.5,0.58304,0.38402,1.04751,0.94604,0.96574,0.96013,0.64851,1.12981,0.4876,1.48437,0.000602537,0.000602537,0.000602537
131,30860.6,0.57386,0.36703,1.03029,0.95831,0.96574,0.95533,0.65247,1.12302,0.47184,1.48347,0.000594286,0.000594286,0.000594286
132,31088.3,0.57035,0.36791,1.03874,0.94512,0.95292,0.95108,0.65058,1.11094,0.47505,1.50865,0.000586034,0.000586034,0.000586034
133,31315.7,0.55469,0.35923,1.02108,0.946,0.95035,0.94786,0.64512,1.11008,0.49224,1.48283,0.000577782,0.000577782,0.000577782
134,31547.8,0.56013,0.35724,1.03787,0.92331,0.96574,0.95344,0.65043,1.10132,0.47296,1.46714,0.000569531,0.000569531,0.000569531
135,31777.6,0.56025,0.35618,1.03887,0.93288,0.95198,0.93602,0.62675,1.12531,0.49279,1.52351,0.000561279,0.000561279,0.000561279
136,32005.4,0.5557,0.35291,1.03042,0.94456,0.9517,0.95114,0.63955,1.1307,0.5048,1.50362,0.000553027,0.000553027,0.000553027
137,32237.4,0.55377,0.35701,1.03063,0.95872,0.95292,0.95722,0.65137,1.11648,0.47162,1.49048,0.000544776,0.000544776,0.000544776
138,32471,0.55603,0.35231,1.03158,0.94321,0.95169,0.94064,0.63943,1.13645,0.52164,1.51405,0.000536524,0.000536524,0.000536524
139,32699.4,0.53687,0.34178,1.02527,0.95718,0.96479,0.95589,0.63693,1.14415,0.47994,1.51013,0.000528272,0.000528272,0.000528272
140,32927.6,0.5388,0.34963,1.02412,0.95543,0.95292,0.95445,0.65581,1.09163,0.45936,1.47924,0.000520021,0.000520021,0.000520021
141,33154.9,0.53954,0.33587,1.02459,0.94686,0.96574,0.96186,0.67058,1.10674,0.47748,1.47496,0.000511769,0.000511769,0.000511769
142,33385.2,0.55475,0.34869,1.02723,0.95875,0.96574,0.94292,0.63377,1.10428,0.47999,1.49177,0.000503517,0.000503517,0.000503517
143,33614.1,0.53723,0.34736,1.03469,0.96008,0.96574,0.95106,0.64227,1.12298,0.49851,1.52722,0.000495266,0.000495266,0.000495266
144,33841.6,0.52168,0.34415,1.01192,0.95925,0.96574,0.95845,0.65816,1.07792,0.46651,1.46961,0.000487014,0.000487014,0.000487014
145,34096.2,0.55108,0.35894,1.03108,0.95927,0.95292,0.97306,0.66534,1.07808,0.45172,1.453,0.000478762,0.000478762,0.000478762
146,34361.1,0.5312,0.3465,1.02524,0.95987,0.96311,0.96861,0.65682,1.12746,0.45334,1.51029,0.000470511,0.000470511,0.000470511
147,34608.4,0.52602,0.33436,1.01679,0.9465,0.96574,0.96392,0.66223,1.08942,0.46589,1.49112,0.000462259,0.000462259,0.000462259
148,34852.1,0.52812,0.34037,1.02376,0.93505,0.96574,0.96193,0.65267,1.09599,0.45944,1.49101,0.000454007,0.000454007,0.000454007
149,35101.6,0.54609,0.34766,1.04482,0.94431,0.96478,0.96181,0.67046,1.0769,0.45768,1.49202,0.000445756,0.000445756,0.000445756
150,35343.4,0.50388,0.31565,1.00627,0.9476,0.95292,0.95938,0.66355,1.07607,0.48765,1.4919,0.000437504,0.000437504,0.000437504
151,35580.7,0.52505,0.34048,1.02454,0.94492,0.96574,0.95888,0.65559,1.10377,0.46916,1.52183,0.000429253,0.000429253,0.000429253
152,35819.6,0.50848,0.32045,1.00442,0.94512,0.96574,0.96694,0.66381,1.10318,0.47126,1.51104,0.000421001,0.000421001,0.000421001
153,36053.3,0.53257,0.33737,1.03412,0.94666,0.96574,0.9621,0.6562,1.08849,0.47708,1.48129,0.000412749,0.000412749,0.000412749
154,36283.9,0.51636,0.33118,1.01475,0.94757,0.96574,0.94874,0.66182,1.06107,0.47364,1.46296,0.000404498,0.000404498,0.000404498
155,36519.9,0.5213,0.32537,1.01731,0.94803,0.96574,0.96177,0.65567,1.09965,0.46796,1.47148,0.000396246,0.000396246,0.000396246
